zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-08-18,79.4,64.0,Overcast
90045,Los Angeles,California,2026-08-19,83.2,71.6,Sunny
90045,Los Angeles,California,2026-08-20,81.3,72.1,Sunny
10001,New York,New York,2026-08-18,90.9,70.7,Sunny
10001,New York,New York,2026-08-19,91.5,75.4,Sunny
10001,New York,New York,2026-08-20,90.5,78.5,Overcast
60601,Chicago,Illinois,2026-08-18,77.4,68.2,Sunny
60601,Chicago,Illinois,2026-08-19,75.0,66.2,Patchy rain nearby
60601,Chicago,Illinois,2026-08-20,74.2,69.0,Sunny
98101,Seattle,Washington,2026-08-18,83.7,56.8,Sunny
98101,Seattle,Washington,2026-08-19,80.9,56.3,Overcast
98101,Seattle,Washington,2026-08-20,85.3,58.3,Sunny
33101,Miami,Florida,2026-08-18,99.9,77.5,Sunny
33101,Miami,Florida,2026-08-19,94.0,85.0,Partly Cloudy
33101,Miami,Florida,2026-08-20,90.9,85.2,Light rain shower
77001,Houston,Texas,2026-08-18,100.2,76.3,Sunny
77001,Houston,Texas,2026-08-19,102.5,80.8,Overcast
77001,Houston,Texas,2026-08-20,102.9,79.4,Sunny
85001,Phoenix,Arizona,2026-08-18,105.0,85.6,Sunny
85001,Phoenix,Arizona,2026-08-19,106.0,90.7,Sunny
85001,Phoenix,Arizona,2026-08-20,106.4,90.2,Dust haze
19101,Philadelphia,Pennsylvania,2026-08-18,88.4,73.2,Sunny
19101,Philadelphia,Pennsylvania,2026-08-19,90.4,71.7,Sunny
19101,Philadelphia,Pennsylvania,2026-08-20,90.2,73.0,Overcast
78201,San Antonio,Texas,2026-08-18,99.1,76.8,Sunny
78201,San Antonio,Texas,2026-08-19,100.7,75.5,Overcast
78201,San Antonio,Texas,2026-08-20,101.6,75.4,Sunny
92101,San Diego,California,2026-08-18,79.5,65.1,Overcast
92101,San Diego,California,2026-08-19,76.4,71.0,Sunny
92101,San Diego,California,2026-08-20,75.8,71.5,Sunny
75201,Dallas,Texas,2026-08-18,108.6,80.8,Sunny
75201,Dallas,Texas,2026-08-19,106.9,85.9,Sunny
75201,Dallas,Texas,2026-08-20,106.6,84.5,Sunny
95101,San Jose,California,2026-08-18,89.6,57.9,Overcast
95101,San Jose,California,2026-08-19,93.0,59.7,Overcast
95101,San Jose,California,2026-08-20,93.8,61.7,Sunny
78701,Austin,Texas,2026-08-18,102.1,77.5,Sunny
78701,Austin,Texas,2026-08-19,100.7,77.8,Overcast
78701,Austin,Texas,2026-08-20,104.4,75.6,Sunny
30301,Atlanta,Georgia,2026-08-18,95.0,75.4,Heavy rain
30301,Atlanta,Georgia,2026-08-19,96.9,73.3,Sunny
30301,Atlanta,Georgia,2026-08-20,100.6,75.8,Sunny
28201,Charlotte,North Carolina,2026-08-18,96.1,74.8,Patchy rain nearby
28201,Charlotte,North Carolina,2026-08-19,99.4,74.5,Sunny
28201,Charlotte,North Carolina,2026-08-20,102.3,77.2,Sunny
80201,Denver,Colorado,2026-08-18,90.6,65.4,Overcast
80201,Denver,Colorado,2026-08-19,90.2,64.7,Sunny
80201,Denver,Colorado,2026-08-20,91.3,66.2,Sunny
37201,Nashville,Tennessee,2026-08-18,92.3,71.6,Sunny
37201,Nashville,Tennessee,2026-08-19,94.3,73.7,Sunny
37201,Nashville,Tennessee,2026-08-20,86.3,73.2,Overcast
97201,Portland,Oregon,2026-08-18,87.8,57.9,Sunny
97201,Portland,Oregon,2026-08-19,84.7,59.3,Sunny
97201,Portland,Oregon,2026-08-20,90.7,60.2,Sunny
89101,Las Vegas,Nevada,2026-08-18,99.8,79.5,Sunny
89101,Las Vegas,Nevada,2026-08-19,100.1,86.2,Sunny
89101,Las Vegas,Nevada,2026-08-20,101.3,86.3,Overcast
63101,Saint Louis,Missouri,2026-08-18,91.8,67.5,Sunny
63101,Saint Louis,Missouri,2026-08-19,86.7,66.7,Sunny
63101,Saint Louis,Missouri,2026-08-20,80.5,68.9,Overcast
